tag,delta,mwu
TSS_870,-0.21521888888888888,-1.6230694683713809
TSS_247,-0.20006666666666667,-1.6157365292588184
TSS_1061,-0.27119333333333334,-1.6004942281533059
TSS_635,-0.046259999999999996,-1.561897621789564
TSS_631,-0.11999222222222221,-1.5423757183788154
TSS_371,-0.32128222222222225,-1.5247865159710965
TSS_214.1,-0.19342444444444445,-1.5169871277515077
TSS_853*,-0.1747233333333333,-1.490991862095597
TSS_1021.4,-0.09428,-1.4599780814353311
TSS_995.1,-0.04451888888888889,-1.4522524997533721
TSS_272,-0.24090111111111115,-1.4517166715858654
TSS_186.3,-0.11533777777777776,-1.4418424788879034
TSS_638,-0.2504222222222222,-1.4410286001582366
TSS_977,-0.3408477777777778,-1.438703770987224
TSS_336,-0.12731111111111107,-1.4380220560903498
TSS_694,-0.2027788888888889,-1.435994895005552
TSS_79,-0.09907444444444444,-1.398528750606029
TSS_194,-0.13178888888888884,-1.38423805075496
TSS_746,-0.3884233333333333,-1.3641663171926304
TSS_196,-0.15558666666666665,-1.3498390564819802
TSS_53,-0.1289022222222222,-1.3235855997073742
TSS_1044,-0.09704333333333334,-1.3180515697446649
TSS_388.1,-0.16645777777777776,-1.317349817508754
TSS_887,-0.1592444444444444,-1.3052092084845262
TSS_1048,-0.3132433333333334,-1.2916278561522316
TSS_4.2,-0.17549333333333333,-1.2869389519185808
TSS_1093,-0.24057777777777778,-1.2691840484601578
TSS_524.1,-0.21530555555555553,-1.2679301129232914
TSS_819,-0.25937666666666664,-1.2600290698996788
TSS_827,-0.16421888888888886,-1.2465859654747429
TSS_202,-0.23087111111111114,-1.2402005649720786
TSS_419,-0.22508777777777775,-1.2353733283658277
TSS_1117,-0.16278111111111107,-1.2328172686043024
TSS_924,-0.17528333333333335,-1.2086220233527634
TSS_858,-0.14316777777777775,-1.205148005289504
TSS_1018,-0.3959111111111111,-1.204167256232337
TSS_418,-0.2913044444444444,-1.2025658169787619
TSS_862,0.16627222222222227,-1.1931759710905525
TSS_653,-0.12566222222222223,-1.1852156971678858
TSS_578,-0.08686444444444445,-1.1443972460590386
TSS_583,-0.4164944444444444,-1.143107302107518
TSS_1114.1,-0.12750111111111112,-1.1358555869757605
TSS_368,-0.12048555555555554,-1.1326465566242985
TSS_788,-0.42836555555555555,-1.1311715260746245
TSS_148,-0.2868711111111111,-1.1101748841660302
TSS_1095,-0.15490222222222222,-1.1041808108661373
TSS_789.1,-0.17330666666666666,-1.0784501892395748
TSS_980,-0.18075,-1.0771122390642864
TSS_4.3,-0.27592222222222224,-1.0579834957246739
TSS_1017,-0.16086,-1.0554813667012024
TSS_753,-0.17500666666666664,-1.04775697369805
TSS_981,-0.2867866666666667,-1.0441759263971664
TSS_447,-0.17064888888888888,-1.0248054940096598
TSS_630,-0.15918666666666667,-1.0247382109438794
TSS_252,-0.12204333333333334,-1.023284516988265
TSS_84,-0.5276177777777777,-1.023262781176526
TSS_244,-0.31919000000000003,-1.0179571130141258
TSS_270,-0.24368333333333336,-1.0000633657825233
TSS_778,-0.24276333333333333,-0.9953441958621122
TSS_960,-0.15493888888888885,-0.984448964902875
TSS_769,-0.2267488888888889,-0.9466722945650188
TSS_613.1,-0.15615777777777776,-0.9417841400209667
TSS_492,-0.19509666666666664,-0.9398014128822005
TSS_258,-0.08624666666666668,-0.9325493208084157
TSS_19.1,-0.3518377777777778,-0.9294748179048629
TSS_435,-0.3025344444444444,-0.9182685248556898
TSS_982,-0.15560777777777776,-0.9154710698990416
TSS_398.1,-0.13717777777777773,-0.9027433289044224
TSS_237,-0.18942666666666666,-0.9011047340878215
TSS_670,-0.12431555555555557,-0.8967415680342781
TSS_1065.3,-0.16750999999999996,-0.8957686416299144
TSS_226,-0.1509711111111111,-0.8933666462008905
TSS_545,-0.1046711111111111,-0.8809881272824054
TSS_1109,-0.22296555555555553,-0.8604790997916637
TSS_891,-0.08435888888888889,-0.8505574933360025
TSS_917,-0.13565333333333332,-0.8493388976175795
TSS_78,-0.09460444444444444,-0.8455889114527868
TSS_356,-0.18181444444444445,-0.8375924794370488
TSS_687,-0.13561888888888887,-0.8306612623538367
TSS_469,-0.28122555555555556,-0.8285121539945249
TSS_318,-0.19388777777777777,-0.8278604767911459
TSS_1023,-0.08017111111111111,-0.8000363074549998
TSS_585,-0.1340533333333333,-0.7996415847738818
TSS_904,-0.16990555555555556,-0.7960847422313093
TSS_874,-0.762858888888889,-0.7938834033260879
TSS_421,-0.23597999999999997,-0.7915794057553823
TSS_188.6,-0.16381888888888885,-0.7765724205458763
TSS_898,-0.2054633333333333,-0.7543644526370225
TSS_1052.2,-0.09656999999999999,-0.753994306068766
TSS_454,-0.24226666666666663,-0.7524093941390773
TSS_297,-0.17560888888888887,-0.7515562128913635
TSS_156.2,-0.12746,-0.7320729882693158
TSS_365,-0.39796111111111115,-0.7299150071145667
TSS_317,-0.10958,-0.7287966176960974
TSS_1020.1,-0.17749111111111113,-0.7199138563775727
TSS_64,-0.1805233333333333,-0.7169392904919403
TSS_928,-0.11252333333333334,-0.7149961258703524
TSS_508,-0.1020188888888889,-0.7099072421442965
TSS_494,-0.5241922222222222,-0.7035316352002288
TSS_605,-0.3998688888888889,-0.6987845286869789
TSS_857,-0.4171377777777778,-0.6979503449634687
TSS_171,-0.13039555555555554,-0.6893676896997329
TSS_1004,-0.1293,-0.682742951809907
TSS_328,-0.1287922222222222,-0.6819001533393358
TSS_503,-0.2668055555555556,-0.675290329609288
TSS_440,-0.15092444444444444,-0.6704414630942025
TSS_151,-0.21685,-0.6552649104156397
TSS_595.1,-0.1789611111111111,-0.6237657297023165
TSS_609,-0.3215677777777778,-0.6216231991860955
TSS_1063,-0.12506,-0.6186356046742371
TSS_655,-0.1281288888888889,-0.6132699442638674
TSS_351,-0.13062555555555555,-0.5700681726396404
TSS_193,-0.2160022222222222,-0.5691149042025919
TSS_835,0.023042222222222238,-0.5574559229183477
TSS_573,-0.13717777777777773,-0.5262279501943561
TSS_388,-0.15409555555555554,-0.5255464757416194
TSS_738,-0.1554088888888889,-0.5198364002774314
TSS_967,-0.08636333333333333,-0.5144462238792706
TSS_106,0.18540444444444446,-0.5081102025554572
TSS_44,-0.24966333333333335,-0.49779627243480207
TSS_533,-0.12746,-0.4961636227170806
TSS_239,-0.23328666666666667,-0.4825946899227314
TSS_1052,-0.15452777777777774,-0.48155711627270115
TSS_840.1,-0.16521999999999998,-0.47845424099636563
TSS_762,-0.15242666666666665,-0.47690850909844024
TSS_874.2,-0.35559666666666667,-0.47073525676686195
TSS_456,-0.1828188888888889,-0.46965907837019955
TSS_181,-0.16387777777777776,-0.4509239024160151
TSS_877.2,-0.17808666666666664,-0.44979455277168523
TSS_770,-0.1095811111111111,-0.44502421151386806
TSS_840,-0.12952111111111111,-0.4338504118959924
TSS_314,-0.28027111111111114,-0.42729802748118206
TSS_1096.2,-0.1302444444444444,-0.40455023837894344
TSS_901,-0.13554999999999998,-0.40283396576765285
TSS_319.1,-0.18566,-0.39084518588500916
TSS_96.1,-0.2808588888888889,-0.3898014413309449
TSS_95.1,-0.13940666666666662,-0.3893147476507212
TSS_688,-0.1930033333333333,-0.388860353961983
TSS_708,-0.14712777777777777,-0.3804088856383617
TSS_646,0.20238444444444442,-0.37685286807107454
